Game Date,Away Team,Home Team,Total_1to5_Runs
2025-04-13,Texas Rangers,Seattle Mariners,3.0
2025-04-13,Philadelphia Phillies,St. Louis Cardinals,2.0
2025-04-13,Atlanta Braves,Tampa Bay Rays,4.0
2025-04-14,Colorado Rockies,Los Angeles Dodgers,4.0
2025-04-14,Detroit Tigers,Milwaukee Brewers,9.0
2025-04-14,New York Mets,Minnesota Twins,2.0
2025-04-14,Kansas City Royals,New York Yankees,5.0
2025-04-14,San Francisco Giants,Philadelphia Phillies,10.0
2025-04-14,Washington Nationals,Pittsburgh Pirates,5.0
2025-04-14,Chicago Cubs,San Diego Padres,4.0
2025-04-14,Houston Astros,St. Louis Cardinals,7.0
2025-04-14,Boston Red Sox,Tampa Bay Rays,16.0
2025-04-14,Atlanta Braves,Toronto Blue Jays,8.0
2025-04-15,Cleveland Guardians,Baltimore Orioles,4.0
2025-04-15,Athletics,Chicago White Sox,8.0
2025-04-15,Seattle Mariners,Cincinnati Reds,10.0
2025-04-15,Colorado Rockies,Los Angeles Dodgers,7.0
2025-04-15,Arizona Diamondbacks,Miami Marlins,6.0
2025-04-15,Detroit Tigers,Milwaukee Brewers,3.0
2025-04-15,New York Mets,Minnesota Twins,6.0
2025-04-15,Kansas City Royals,New York Yankees,2.0
2025-04-15,San Francisco Giants,Philadelphia Phillies,4.0
2025-04-15,Washington Nationals,Pittsburgh Pirates,1.0
2025-04-15,Chicago Cubs,San Diego Padres,1.0
2025-04-15,Houston Astros,St. Louis Cardinals,0.0
2025-04-15,Boston Red Sox,Tampa Bay Rays,8.0
2025-04-15,Los Angeles Angels,Texas Rangers,0.0
2025-04-15,Atlanta Braves,Toronto Blue Jays,7.0
2025-04-16,Cleveland Guardians,Baltimore Orioles,5.0
2025-04-16,Athletics,Chicago White Sox,1.0
2025-04-16,Seattle Mariners,Cincinnati Reds,4.0
2025-04-16,Colorado Rockies,Los Angeles Dodgers,14.0
2025-04-16,Arizona Diamondbacks,Miami Marlins,3.0
2025-04-16,Detroit Tigers,Milwaukee Brewers,4.0
2025-04-16,New York Mets,Minnesota Twins,2.0
2025-04-16,Kansas City Royals,New York Yankees,6.0
2025-04-16,San Francisco Giants,Philadelphia Phillies,9.0
2025-04-16,Washington Nationals,Pittsburgh Pirates,1.0
2025-04-16,Chicago Cubs,San Diego Padres,3.0
2025-04-16,Houston Astros,St. Louis Cardinals,4.0
2025-04-16,Boston Red Sox,Tampa Bay Rays,1.0
2025-04-16,Los Angeles Angels,Texas Rangers,3.0
2025-04-16,Atlanta Braves,Toronto Blue Jays,1.0
2025-04-17,Cleveland Guardians,Baltimore Orioles,6.0
2025-04-17,Athletics,Chicago White Sox,2.0
2025-04-17,Seattle Mariners,Cincinnati Reds,6.0
2025-04-17,Kansas City Royals,Detroit Tigers,4.0
2025-04-17,Arizona Diamondbacks,Miami Marlins,9.0
2025-04-17,St. Louis Cardinals,New York Mets,5.0
2025-04-17,San Francisco Giants,Philadelphia Phillies,6.0
2025-04-17,Washington Nationals,Pittsburgh Pirates,1.0
2025-04-17,New York Yankees,Tampa Bay Rays,6.0
2025-04-17,Los Angeles Angels,Texas Rangers,7.0
2025-04-18,Minnesota Twins,Atlanta Braves,5.0
2025-04-18,Cincinnati Reds,Baltimore Orioles,8.0
2025-04-18,Chicago White Sox,Boston Red Sox,7.0
2025-04-18,Arizona Diamondbacks,Chicago Cubs,3.0
2025-04-18,Washington Nationals,Colorado Rockies,0.0
2025-04-18,Kansas City Royals,Detroit Tigers,6.0
2025-04-18,San Diego Padres,Houston Astros,7.0
2025-04-18,San Francisco Giants,Los Angeles Angels,2.0
2025-04-18,Athletics,Milwaukee Brewers,3.0
2025-04-18,St. Louis Cardinals,New York Mets,4.0
2025-04-18,Miami Marlins,Philadelphia Phillies,7.0
2025-04-18,Cleveland Guardians,Pittsburgh Pirates,7.0
